iter	Passed	Remaining
448	1087	1334
449	1088	1330
450	1090	1327
451	1091	1323
452	1093	1320
453	1095	1317
454	1098	1315
455	1099	1311
456	1101	1308
457	1102	1305
458	1104	1302
459	1106	1298
460	1108	1295
461	1109	1292
462	1111	1289
463	1113	1286
464	1114	1282
465	1116	1279
466	1118	1276
467	1119	1272
468	1121	1269
469	1122	1266
470	1124	1262
471	1127	1260
472	1129	1258
473	1130	1254
474	1132	1251
475	1133	1247
476	1135	1244
477	1136	1241
478	1138	1238
479	1140	1235
480	1142	1232
481	1143	1229
482	1145	1225
483	1146	1222
484	1148	1219
485	1150	1216
486	1151	1213
487	1153	1209
488	1157	1209
489	1159	1206
490	1161	1203
491	1162	1200
492	1164	1197
493	1165	1194
494	1167	1190
495	1169	1187
496	1171	1185
497	1172	1182
498	1174	1178
499	1175	1175
500	1177	1172
501	1178	1169
502	1179	1165
503	1181	1162
504	1182	1159
505	1185	1157
506	1187	1154
507	1189	1151
508	1190	1148
509	1192	1145
510	1193	1142
511	1195	1139
512	1197	1136
513	1199	1133
514	1202	1132
515	1204	1129
516	1205	1126
517	1207	1123
518	1208	1120
519	1210	1116
520	1211	1113
521	1214	1112
522	1216	1109
523	1218	1106
524	1219	1103
525	1221	1100
526	1223	1097
527	1224	1094
528	1226	1091
529	1228	1089
530	1230	1086
531	1231	1083
532	1233	1080
533	1234	1077
534	1236	1074
535	1237	1071
536	1239	1068
537	1241	1065
538	1244	1064
539	1248	1063
540	1250	1060
541	1252	1058
542	1254	1055
543	1255	1052
544	1257	1049
545	1259	1047
546	1261	1044
547	1262	1041
548	1263	1038
549	1265	1035
550	1267	1032
551	1268	1029
552	1269	1026
553	1271	1023
554	1274	1021
555	1276	1019
556	1277	1016
557	1279	1013
558	1280	1010
559	1282	1007
560	1283	1004
561	1285	1001
562	1286	998
563	1288	995
564	1290	993
565	1291	990
566	1293	987
567	1294	984
568	1296	981
569	1297	978
570	1299	976
571	1300	973
572	1302	970
573	1305	968
574	1307	966
575	1308	963
576	1310	960
577	1311	957
578	1312	954
579	1314	951
580	1315	948
581	1317	946
582	1319	943
583	1321	941
584	1322	938
585	1323	935
586	1325	932
587	1327	930
588	1328	927
589	1330	924
590	1334	923
591	1336	921
592	1337	918
593	1339	915
594	1340	912
595	1342	909
596	1343	907
597	1345	904
598	1347	901
599	1349	899
600	1350	896
601	1352	894
602	1354	891
603	1355	888
604	1357	886
605	1358	883
606	1359	880
607	1362	878
608	1364	876
609	1366	873
610	1368	871
611	1370	868
612	1372	866
613	1373	863
614	1375	861
615	1377	858
616	1379	856
617	1381	853
618	1382	851
619	1384	848
620	1385	845
621	1387	843
622	1388	840
623	1390	837
624	1393	836
625	1395	833
626	1396	830
627	1398	828
628	1400	825
629	1401	823
630	1403	820
631	1404	817
632	1408	816
633	1410	814
634	1411	811
635	1414	809
636	1416	807
637	1417	804
638	1419	801
639	1422	800
640	1425	798
641	1426	795
642	1428	793
643	1430	790
644	1431	787
645	1433	785
646	1434	782
647	1437	780
648	1438	778
649	1440	775
650	1442	773
651	1444	770
652	1445	768
653	1447	765
654	1448	763
655	1451	761
656	1453	759
657	1455	756
658	1456	753
659	1458	751
660	1460	748
661	1462	746
662	1463	743
663	1465	741
664	1467	739
665	1469	736
666	1470	734
667	1472	731
668	1473	729
669	1474	726
670	1476	723
671	1478	721
672	1480	719
673	1482	716
674	1484	714
675	1489	713
676	1491	711
677	1493	709
678	1496	707
679	1498	705
680	1500	702
681	1504	701
682	1506	699
683	1508	697
684	1510	694
685	1512	692
686	1515	690
687	1517	688
688	1519	685
689	1521	683
690	1524	681
691	1526	679
692	1529	677
693	1534	676
694	1537	674
695	1539	672
696	1541	670
697	1543	667
698	1546	665
699	1548	663
700	1551	661
701	1553	659
702	1555	657
703	1557	654
704	1559	652
705	1563	651
706	1566	649
707	1569	647
708	1571	645
709	1573	642
710	1575	640
711	1578	638
712	1580	636
713	1582	633
714	1584	631
715	1586	629
716	1588	626
717	1590	624
718	1595	623
719	1597	621
720	1599	618
721	1601	616
722	1603	614
723	1606	612
724	1608	610
725	1611	608
726	1613	605
727	1615	603
728	1617	601
729	1620	599
730	1623	597
731	1625	595
732	1627	592
733	1629	590
734	1632	588
735	1634	586
736	1637	584
737	1639	581
738	1641	579
739	1643	577
740	1645	575
741	1647	572
742	1650	570
743	1653	568
744	1655	566
745	1657	564
746	1659	562
747	1661	559
748	1666	558
749	1668	556
750	1670	553
751	1672	551
752	1674	549
753	1676	546
754	1679	544
755	1683	543
756	1685	540
757	1687	538
758	1689	536
759	1691	534
760	1694	532
761	1696	529
762	1698	527
763	1701	525
764	1704	523
765	1706	521
766	1715	521
767	1718	519
768	1720	516
769	1722	514
770	1725	512
771	1727	510
772	1729	507
773	1731	505
774	1733	503
775	1735	501
776	1739	499
777	1741	497
778	1744	494
779	1746	492
780	1748	490
781	1750	488
782	1754	486
783	1756	483
784	1758	481
785	1760	479
786	1762	477
787	1764	474
788	1766	472
789	1772	471
790	1775	469
791	1778	466
792	1780	464
793	1782	462
794	1784	460
795	1786	457
796	1790	456
797	1792	453
798	1794	451
799	1800	450
800	1803	448
801	1805	445
802	1807	443
803	1809	441
804	1810	438
805	1813	436
806	1815	434
807	1817	431
808	1819	429
809	1820	427
810	1822	424
811	1824	422
812	1826	420
813	1829	418
814	1831	415
815	1833	413
816	1835	411
817	1837	408
818	1838	406
819	1841	404
820	1843	401
821	1844	399
822	1846	397
823	1848	394
824	1850	392
825	1852	390
826	1853	387
827	1856	385
828	1858	383
829	1860	381
830	1862	378
831	1863	376
832	1865	373
833	1867	371
834	1868	369
835	1871	367
836	1872	364
837	1874	362
838	1876	360
839	1877	357
840	1880	355
841	1881	353
842	1883	350
843	1886	348
844	1888	346
845	1890	344
846	1892	341
847	1894	339
848	1896	337
849	1899	335
850	1901	332
851	1904	330
852	1906	328
853	1908	326
854	1910	324
855	1912	321
856	1917	320
857	1919	317
858	1921	315
859	1923	313
860	1925	310
861	1927	308
862	1929	306
863	1931	304
864	1933	301
865	1935	299
866	1939	297
867	1941	295
868	1948	293
869	1950	291
870	1952	289
871	1954	286
872	1956	284
873	1958	282
874	1960	280
875	1963	277
876	1965	275
877	1967	273
878	1969	271
879	1972	269
880	1976	267
881	1979	264
882	1981	262
883	1984	260
884	1986	258
885	1987	255
886	1990	253
887	1992	251
888	1994	249
889	1996	246
890	1998	244
891	2000	242
892	2002	239
893	2005	237
894	2008	235
895	2010	233
896	2012	231
897	2014	228
898	2016	226
899	2018	224
900	2020	222
901	2022	219
902	2024	217
903	2026	215
904	2028	212
905	2031	210
906	2035	208
907	2040	206
908	2042	204
909	2044	202
910	2046	199
911	2049	197
912	2051	195
913	2054	193
914	2056	191
915	2058	188
916	2060	186
917	2062	184
918	2066	182
919	2068	179
